team,player_number,position,birth_date,shirt_name,club_name,height,weight,league,age,name,caps
Sweden,22,FW,6/24/1992,KIESE THELIN,KV Waasland-Beveren,189,83,BEL,25.97260274,Isaac Kiese Thelin,20
Sweden,23,GK,6/23/1989,NORDFELDT,Swansea City AFC,190,85,WAL,28.97534247,Kristoffer Nordfeldt,8
Switzerland,1,GK,12/17/1988,SOMMER,VfL Borussia Mönchengladbach,183,81,GER,29.49041096,Yann Sommer,35
Switzerland,2,DF,1/16/1984,LICHTSTEINER,Juventus FC,181,77,ITA,34.40821918,Stephan Lichtsteiner,100
Switzerland,3,DF,6/21/1990,MOUBANDJE,Toulouse FC,180,76,FRA,27.98082192,François Moubandje,18
Switzerland,4,DF,9/30/1996,ELVEDI,VfL Borussia Mönchengladbach,187,77,GER,21.70410959,Nico Elvedi,6
Switzerland,5,DF,7/19/1995,AKANJI,Borussia Dortmund,186,85,GER,22.90410959,Manuel Akanji,7
Switzerland,6,DF,2/8/1991,LANG,FC Basel,185,78,SUI,27.34520548,Michael Lang,24
Switzerland,7,FW,2/14/1997,EMBOLO,FC Schalke 04,184,86,GER,21.32876712,Breel Embolo,25
Switzerland,8,MF,4/15/1992,FREULER,Atalanta Bergamo,181,75,ITA,26.16438356,Remo Freuler,10
Switzerland,9,FW,2/22/1992,SEFEROVIC,SL Benfica,186,88,POR,26.30684932,Haris Seferović,51
Switzerland,10,MF,9/27/1992,XHAKA,Arsenal FC,183,82,ENG,25.71232877,Granit Xhaka,62
Switzerland,11,MF,4/19/1985,BEHRAMI,Udinese Calcio,184,78,ITA,33.15342466,Valon Behrami,79
Switzerland,12,GK,6/6/1994,MVOGO,RB Leipzig,186,84,GER,24.02191781,Yvon Mvogo,0
Switzerland,13,DF,8/25/1992,RODRIGUEZ,AC Milan,180,79,ITA,25.80273973,Ricardo Rodríguez,53
Switzerland,14,MF,8/17/1991,ZUBER,TSG 1899 Hoffenheim,182,79,GER,26.82465753,Steven Zuber,12
Switzerland,15,MF,4/12/1986,DZEMAILI,Bologna FC,180,77,ITA,32.17260274,Blerim Džemaili,65
Switzerland,16,MF,9/2/1986,G. FERNANDES,Eintracht Frankfurt,180,72,GER,31.78082192,Gelson Fernandes,67
Switzerland,17,MF,11/20/1996,ZAKARIA,VfL Borussia Mönchengladbach,189,77,GER,21.56438356,Denis Zakaria,10
Switzerland,18,FW,11/24/1989,GAVRANOVIC,GNK Dinamo Zagreb,175,75,CRO,28.55342466,Mario Gavranović,14
Switzerland,19,FW,8/8/1992,DRMIC,VfL Borussia Mönchengladbach,184,78,GER,25.84931507,Josip Drmić,29
Switzerland,20,DF,1/18/1987,DJOUROU,Antalyaspor AS,192,90,TUR,31.40273973,Johan Djourou,74
Switzerland,21,GK,11/14/1990,BÜRKI,Borussia Dortmund,188,83,GER,27.58082192,Roman Bürki,9
Switzerland,22,DF,12/20/1991,SCHÄR,Deportivo La Coruña,186,83,ESP,26.48219178,Fabian Schär,39
Switzerland,23,MF,10/10/1991,SHAQIRI,Stoke City FC,165,78,ENG,26.67671233,Xherdan Shaqiri,70
Tunisia,1,GK,7/1/1989,BEN MUSTAPHA,Al Shabab FC,192,85,KSA,28.95342466,Farouk Ben Mustapha,15
Tunisia,2,DF,3/31/1989,BEN YOUSSEF .S,Kasimpasa SK,189,87,TUR,29.20547945,Syam Ben Youssef,42
Tunisia,3,DF,3/28/1987,BEN ALOUANE,Leicester City FC,185,75,ENG,31.21369863,Yohan Benalouane,4
Tunisia,4,DF,7/2/1993,MERIAH,CS Sfaxien,183,70,TUN,24.95068493,Yassine Meriah,16
Tunisia,5,DF,1/28/1992,HADDADI,Dijon FCO,185,76,FRA,26.37534247,Oussama Haddadi,9
Tunisia,6,DF,1/19/1990,BEDOUI,Étoile du Sahel,187,77,TUN,28.4,Rami Bedoui,8
Tunisia,7,FW,4/27/1995,KHAOUI,ES Troyes,180,76,FRA,23.13150685,Saîf-Eddine Khaoui,5
Tunisia,8,FW,6/23/1991,BEN YOUSSEF .F,Al Ittifaq FC,189,80,KSA,26.97534247,Fakhreddine Ben Youssef,39
Tunisia,9,MF,9/18/1990,BADRI,ES Tunis,178,70,TUN,27.7369863,Anice Badri,7
Tunisia,10,FW,2/8/1991,KHAZRI,Stade Rennais FC,182,76,FRA,27.34520548,Wahbi Khazri,35
Tunisia,11,DF,6/19/1995,BRONN,KAA Gent,186,75,BEL,22.98630137,Dylan Bronn,5
Tunisia,12,DF,1/1/1990,MAALOUL,Al Ahly SC,170,72,EGY,28.44931507,Ali Maâloul,46
Tunisia,13,MF,3/18/1992,SASSI,Al Nassr FC,186,80,KSA,26.24109589,Ferjani Sassi,39
Tunisia,14,MF,5/3/1992,BEN AMOR,Al Ahli SC,180,75,KSA,26.11506849,Mohamed Amine Ben Amor,26
Tunisia,15,FW,12/21/1994,KHALIL,Club Africain,187,75,TUN,23.47945205,Ahmed Khalil,3
Tunisia,16,GK,9/14/1984,MATHLOUTHI .A,Al Batin FC,182,84,KSA,33.74794521,Aymen Mathlouthi,70
Tunisia,17,MF,5/10/1995,SKHIRI JORIS,Montpellier HSC,185,69,FRA,23.09589041,Ellyes Skhiri,5
Tunisia,18,FW,6/25/1997,SRARFI,OGC Nice,176,71,FRA,20.96986301,Bassem Srarfi,5
Tunisia,19,FW,10/14/1986,KHALIFA,Club Africain,185,72,TUN,31.66575342,Saber Khalifa,44
Tunisia,20,FW,2/28/1994,CHAALELI,ES Tunis,179,70,TUN,24.29041096,Ghailene Chaalali,6
